	RP	SYMBOL	Entrez RNA	RNA Type	Species	Protein	Entrez Protein	Protein Type	Species	Confidence
8451301	RP08451302	NPC2	10577	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451327	RP08451328	GLRX5	51218	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451381	RP08451382	SSBP3	23648	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451509	RP08451510	KCTD5	54442	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451642	RP08451643	GIT1	28964	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451655	RP08451656	RFFL	117584	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451666	RP08451667	DUSP14	11072	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451792	RP08451793	CBX4	8535	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451801	RP08451802	PYCR1	5831	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451808	RP08451809	NDEL1	81565	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451898	RP08451899	MEX3D	399664	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451910	RP08451911	KLF16	83855	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451917	RP08451918	MKNK2	2872	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451935	RP08451936	GRAMD1A	57655	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451938	RP08451939	PIP5K1C	23396	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451955	RP08451956	ZBTB7A	51341	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451967	RP08451968	SH3GL1	6455	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8451987	RP08451988	NAPA	8775	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452148	RP08452149	SRXN1	140809	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452169	RP08452170	PDIA6	10130	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452304	RP08452305	TANGO2	128989	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452395	RP08452396	PIM3	415116	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452614	RP08452615	OXSR1	9943	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452645	RP08452646	GNAI2	2771	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452687	RP08452688	FGFRL1	53834	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8452704	RP08452705	ANXA5	308	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453037	RP08453038	PPP1R14C	81706	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453049	RP08453050	MYLIP	29116	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453149	RP08453150	CDYL	9425	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453159	RP08453160	BMP6	654	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.961
8453171	RP08453172	SLC35A1	10559	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453241	RP08453242	AGAP3	116988	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453247	RP08453248	TSPAN13	27075	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453288	RP08453289	WIPI2	26100	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453309	RP08453310	BCL7B	9275	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453425	RP08453426	LYPLA1	10434	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453748	RP08453749	AGTRAP	57085	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8453772	RP08453773	RNPEP	6051	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.7155
8455255	RP08455256	CCND3	896	mRNA	Homo sapiens	IGF2BP2	10644.0	RBP	Homo sapiens	0.9978
8455761	RP08455762	YAP1	10413	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8455781	RP08455782	RDX	5962	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455816	RP08455817	EI24	9538	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455831	RP08455832	RHOC	389	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455874	RP08455875	KIAA2013	90231	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455887	RP08455888	LGR4	55366	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455910	RP08455911	HSD17B12	51144	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455931	RP08455932	SSU72	29101	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455945	RP08455946	CERS2	29956	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8455955	RP08455956	S100A10	6281	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455965	RP08455966	ATP8B2	57198	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8455978	RP08455979	SSR2	6746	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456032	RP08456033	GPR137	56834	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456033	RP08456034	SF1	7536	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456034	RP08456035	MEN1	4221	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456122	RP08456123	CD151	977	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456176	RP08456177	ELK4	2005	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456193	RP08456194	GNPTAB	79158	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456224	RP08456225	PPP1CC	5501	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456241	RP08456242	WSB2	55884	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456252	RP08456253	SRSF9	8683	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456253	RP08456254	DYNLL1	8655	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456271	RP08456272	CDK2AP1	8099	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456302	RP08456303	PGAM5	192111	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456347	RP08456348	RASSF8	11228	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456370	RP08456371	TAF5L	27097	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456487	RP08456488	KRT18	3875	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456628	RP08456629	ZIC2	7546	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456653	RP08456654	ZDHHC20	253832	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456671	RP08456672	POLR1D	51082	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456708	RP08456709	TPT1	7178	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456737	RP08456738	AGO3	192669	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456848	RP08456849	PTPRF	5792	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456871	RP08456872	ERO1A	30001	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456911	RP08456912	MPP5	64398	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8456944	RP08456945	CALM1	801	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456958	RP08456959	PAPOLA	10914	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8456967	RP08456968	PCSK6	5046	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457188	RP08457189	PDPK1	5170	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457190	RP08457191	SRRM2	23524	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457200	RP08457201	MAZ	4150	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457279	RP08457280	E2F4	1874	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457384	RP08457385	FAM222B	55731	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457461	RP08457462	G6PC3	92579	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457464	RP08457465	SLC25A39	51629	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457482	RP08457483	HOXB3	3213	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457575	RP08457576	CTDNEP1	23399	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457632	RP08457633	ACTG1	71	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457640	RP08457641	ARHGDIA	396	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457656	RP08457657	NDEL1	81565	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457660	RP08457661	ERRFI1	54206	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457691	RP08457692	DSG2	1829	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457706	RP08457707	TGIF1	7050	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457740	RP08457741	NEDD4L	23327	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457768	RP08457769	TXNL4A	10907	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457815	RP08457816	SAMD1	90378	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457821	RP08457822	BRD4	23476	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457891	RP08457892	GPI	2821	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457895	RP08457896	MFSD12	126321	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8457909	RP08457910	CAPNS1	826	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8457969	RP08457970	HNRNPUL1	11100	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458005	RP08458006	SAE1	10055	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458078	RP08458079	KHSRP	8570	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458079	RP08458080	SLC25A23	79085	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458102	RP08458103	SNX5	27131	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458130	RP08458131	RALY	22913	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458141	RP08458142	CPNE1	8904	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458207	RP08458208	GNAS	2778	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458220	RP08458221	YTHDF1	54915	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458228	RP08458229	RPL31	6160	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458288	RP08458289	IFNGR2	3460	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458307	RP08458308	TTC3	7267	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458320	RP08458321	TRAPPC10	7109	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458338	RP08458339	WDSUB1	151525	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458370	RP08458371	AGPS	8540	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458375	RP08458376	UBE2E3	10477	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458435	RP08458436	ARPC2	10109	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458459	RP08458460	MAPK1	5594	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458478	RP08458479	AGFG1	3267	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458503	RP08458504	FBXO7	25793	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458511	RP08458512	RBFOX2	23543	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458519	RP08458520	CSNK1E	1454	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458528	RP08458529	ATF4	468	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458545	RP08458546	SEPT2	4735	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458573	RP08458574	ATRAID	51374	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458743	RP08458744	CDV3	55573	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458770	RP08458771	PFN2	5217	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458813	RP08458814	ATP11B	23200	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458841	RP08458842	SENP5	205564	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458858	RP08458859	CRTAP	10491	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458859	RP08458860	UBP1	7342	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458896	RP08458897	GNAI2	2771	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458905	RP08458906	NT5DC2	64943	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458932	RP08458933	FOXP1	27086	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458938	RP08458939	CGGBP1	8545	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458946	RP08458947	CLDND1	56650	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8458953	RP08458954	FGFRL1	53834	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8458975	RP08458976	ANXA5	308	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8459175	RP08459176	UBE2D2	7322	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459232	RP08459233	ERGIC1	57222	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8459235	RP08459236	BOD1	91272	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459247	RP08459248	HNRNPAB	3182	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459255	RP08459256	RNF130	55819	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8459369	RP08459370	RHOBTB3	22836	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459417	RP08459418	ECHDC1	55862	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459451	RP08459452	LRP11	84918	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459550	RP08459551	MTCH1	23787	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8459558	RP08459559	CCND3	896	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459570	RP08459571	SLC35B2	347734	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459724	RP08459725	RBM33	155435	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8459787	RP08459788	ACTB	60	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.9627
8459850	RP08459851	BRI3	25798	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8459894	RP08459895	MYC	4609	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.9603
8459929	RP08459930	DOCK5	80005	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460012	RP08460013	LAPTM4B	55353	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460133	RP08460134	SIGMAR1	10280	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460214	RP08460215	IL13RA1	3597	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460217	RP08460218	UBE2A	7319	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460241	RP08460242	FMR1	2332	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460251	RP08460252	BCAP31	10134	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460261	RP08460262	GDI1	2664	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460375	RP08460376	PTMA	5757	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460381	RP08460382	ANAPC13	25847	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460451	RP08460452	INPP5A	3632	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460468	RP08460469	CREM	1390	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460586	RP08460587	PAFAH1B2	5049	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460690	RP08460691	PTPMT1	114971	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460724	RP08460725	HDGF	3068	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460783	RP08460784	BANF1	8815	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460932	RP08460933	GLTP	51228	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8460962	RP08460963	MLEC	9761	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8460971	RP08460972	DENR	8562	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461120	RP08461121	CTDSP2	10106	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461133	RP08461134	HMGA2	8091	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8461150	RP08461151	TRNP1	388610	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461204	RP08461205	MARCKSL1	65108	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8461377	RP08461378	ZBTB25	7597	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461444	RP08461445	GLRX5	51218	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461501	RP08461502	EIF3J	8669	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461523	RP08461524	PRTG	283659	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461601	RP08461602	IGF1R	3480	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.9852
8461608	RP08461609	UBE2I	7329	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461641	RP08461642	PPP4C	5531	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461652	RP08461653	ACOT7	11332	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461687	RP08461688	KLHL21	9903	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461727	RP08461728	ZNRF1	84937	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461820	RP08461821	DUSP14	11072	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461956	RP08461957	PYCR1	5831	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8461993	RP08461994	MYL12B	103910	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462033	RP08462034	MBP	4155	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462073	RP08462074	MEX3D	399664	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462152	RP08462153	SH3GL1	6455	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8462162	RP08462163	BLOC1S3	388552	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462171	RP08462172	CALM3	808	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8462179	RP08462180	AKT1S1	84335	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462202	RP08462203	ZNF264	9422	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462241	RP08462242	FKBP1A	2280	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8462276	RP08462277	EIF6	3692	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462299	RP08462300	PKIG	11142	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8462315	RP08462316	PARD6B	84612	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462337	RP08462338	SLC2A4RG	56731	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8462356	RP08462357	FHL2	2274	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462387	RP08462388	FAM168B	130074	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462483	RP08462484	HSPE1	3336	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462485	RP08462486	MOB4	25843	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462503	RP08462504	CCNYL1	151195	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462608	RP08462609	SEPT3	55964	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462753	RP08462754	NAA50	80218	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8462871	RP08462872	PIGX	54965	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463140	RP08463141	RASGEF1B	153020	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463189	RP08463190	SNX24	28966	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463268	RP08463269	GRPEL2	134266	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463361	RP08463362	DHFR	1719	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463459	RP08463460	MPC1	51660	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463461	RP08463462	PHF10	55274	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8463508	RP08463509	SLC22A23	63027	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8463527	RP08463528	C6orf89	221477	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8463552	RP08463553	VEGFA	7422	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463575	RP08463576	KCNQ5	56479	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463579	RP08463580	BMP6	654	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.9543
8463595	RP08463596	SLC35A1	10559	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463737	RP08463738	BCL7B	9275	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463793	RP08463794	GATA4	2626	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8463871	RP08463872	TCEA1	6917	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7155
8463964	RP08463965	NR6A1	2649	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
8464033	RP08464034	CLTA	1211	mRNA	Homo sapiens	IGF2BP3	10643.0	RBP	Homo sapiens	0.7331
